1	28.75	6	370	4	42
1	18.62	4	230	5	35
1	36.47	10	450	6	43
1	47.37	3	260	4	52
1	46.85	9	470	3	44
1	49.50	6	450	5	49
1	15.52	5	380	3	53
2	29.67	2	370	3	43
1	46.08	4	280	2	49
2	19.99	5	270	3	28
1	23.82	7	350	5	45
1	16.64	3	320	4	42
2	16.17	6	390	2	43
1	20.91	4	220	3	56
2	22.91	4	234	4	55
2	15.62	5	450	3	55
2	25.26	7	200	2	52
2	27.35	10	410	2	38
2	34.93	9	340	4	34
1	27.87	10	490	5	46
2	28.39	4	330	2	46
2	27.80	2	280	2	58
2	47.77	5	350	2	37
2	31.78	2	290	5	45
1	30.34	6	190	4	54
2	25.94	5	320	3	37
2	50.13	7	110	3	52
2	44.04	10	440	2	27
1	50.68	2	140	6	51
1	24.23	2	320	6	55
1	41.22	15	435	5	44
2	18.73	15	450	4	36
1	36.78	14	430	3	29
2	23.32	7	285	4	48
2	44.37	10	384	4	47
1	29.92	9	460	3	43
2	54.92	4	300	2	30
2	31.83	12	350	4	30
2	54.79	12	420	3	56
1	16.54	4	150	3	43
1	24.26	5	120	4	26
1	27.49	3	190	3	34
2	42.76	8	180	2	52
2	29.72	4	165	4	43
1	27.63	8	345	4	34
2	46.29	12	340	3	55
1	26.93	14	140	1	27
2	53.76	15	400	3	53
2	51.31	11	260	3	37
2	51.67	10	300	4	37
1	50.10	6	450	2	47
2	20.78	2	355	2	46
2	17.27	3	250	1	45
2	22.77	7	310	5	35
1	39.54	12	205	4	36
1	54.90	15	120	3	53
1	15.54	9	260	3	38
2	42.48	14	340	3	29
1	27.89	2	230	4	46
1	34.34	4	130	4	31
