1	27.6	7	140	4	46	2
1	25.6	8	190	5	37	2
1	32.75	8	170	6	43	2
1	36.5	7	290	4	52	3
1	26.45	6	200	3	44	2
1	38.75	9	390	5	49	3
1	24.35	6	150	3	53	2
2	23.3	7	380	3	43	2
1	32.25	6	180	2	49	3
2	19.6	4	240	3	29	1
1	37.95	7	190	5	45	3
1	37.15	6	220	4	42	3
2	21.9	4	270	2	43	2
1	25.9	5	140	3	57	3
2	19.9	3	110	4	55	1
2	17.3	6	160	3	59	1
2	19.35	4	150	2	56	1
2	22.9	3	170	2	38	2
2	26.45	6	240	4	34	1
1	35.3	8	180	5	46	3
2	20.4	4	180	2	46	1
2	28.75	2	140	2	58	2
2	29.75	9	500	2	37	3
2	18.75	11	420	5	45	1
1	33.25	8	270	4	54	3
2	22.15	6	330	3	37	2
2	24.3	4	170	3	52	1
2	17.95	7	300	2	27	1
1	29.75	3	200	6	52	2
1	29.4	4	200	6	55	2
